coin,feature,bucket,tf,n,mean_next,median_next,p90_next,p99_next,|mean|_next,median_abs_next,range_median_next
ETH,body_pos,upper,1d,150,-0.09591836909960268,-0.7055199976474524,,,2.541074753513905,1.9975904938448197,4.909797665885721
HYPE,body_pos,lower,1d,99,1.0182186248874976,0.6968440451508684,,,4.561196958564205,3.751215671745478,8.762295737477672
HYPE,body_pos,mid,1d,410,0.29682651574571367,0.36124016819045757,9.23925860604661,14.792189982314303,4.246439570130107,3.262898443622375,8.32262963842297
HYPE,body_pos,upper,1d,107,0.21592356279451727,-0.9485991617030676,,,4.023057422028848,2.719336190963062,7.7871947637828285
LIT,body_pos,lower,1d,42,0.8370635533963361,1.0027154739727706,,,4.464330694793811,4.4974564585003645,9.844148929918301
LIT,body_pos,mid,1d,164,-0.2358054059431174,0.08338691177501856,,,5.301889252635191,3.780678670143256,10.793059085040635
PUMP,body_pos,lower,1d,65,0.6306320714860194,1.3462574044157183,,,5.71144892803567,5.073995771670181,10.78643578643578
PUMP,body_pos,mid,1d,295,0.014758976859586161,-0.35385704175513455,,,5.467245387236635,4.288321167883202,10.669371196754554
PUMP,body_pos,upper,1d,39,-0.1865816892078016,-0.10400416016640435,,,4.726274384181879,4.100601421541827,10.592958616429895
SOL,body_pos,lower,1d,150,0.3457161121767338,0.11291987010328963,,,3.349703523581984,2.268691179283755,6.579115783817089
SOL,body_pos,mid,1d,923,0.28544870425462604,0.003546916842545045,6.817261363000893,12.707513234657075,3.173419256975253,2.4873494405245555,5.823117338003499
SOL,body_pos,upper,1d,185,-0.38066095432165326,-0.4847950639048082,,,3.002496235214451,2.30536190915952,6.238793050145306
XMR,body_pos,lower,1d,39,0.12118626660646246,0.08412868788256755,,,3.2828694296990224,2.9010338018352955,5.082840236686392
XMR,body_pos,mid,1d,139,-0.20500258837422275,0.021057618909736675,,,2.851121492280064,1.8105457246024192,4.95841930844745
XMR,body_pos,upper,1d,32,-0.25950887014069207,-0.1756879343576656,,,2.9664025696432,1.8567992119433718,4.875504414760008
XRP,body_pos,lower,1d,106,0.2543188302216188,0.32072204339370636,,,2.2027781337632204,1.4608819461295164,4.600081091205048
XRP,body_pos,mid,1d,917,0.09635766470021813,-0.14461903446483237,5.561421597721505,14.856860275735364,2.5751795647398605,1.6143944242941632,4.405897963128949
XRP,body_pos,upper,1d,130,0.5026700297910333,-0.35517634806634946,,,3.0224824104614703,1.7802118247862153,5.273743699444059
ZEC,body_pos,lower,1d,54,-0.379720363778369,-1.3501609341968812,,,7.609349900969458,4.939009235336505,10.934535068482342
ZEC,body_pos,mid,1d,228,1.007446731180126,-0.004223805367042921,,,5.324647931741164,3.634353924438533,9.29727623071064
ZEC,body_pos,upper,1d,33,0.575838723540248,1.0306174850808203,,,5.370831375572245,4.101806612884906,11.191058138576881
AAVE,body_pos,lower,1h,824,-0.021407369858808985,-0.001116445238358299,1.2569877040108992,2.899390750499533,0.5846316357612344,0.41359688728919153,0.9897169470397364
AAVE,body_pos,mid,1h,3421,-0.009234931884381225,-0.024838817672279134,1.282863824114333,2.9784363334089328,0.5827167282296801,0.410331720801671,0.9733524812509964
AAVE,body_pos,upper,1h,756,-0.0009709838402027982,-0.03008578945741247,1.3830974630911763,3.1973189694801696,0.646016994275993,0.46406699889043335,1.0475223625194108
BTC,body_pos,lower,1h,717,-0.024392065303159623,0.018635565977676016,0.7502286513137157,2.081993475572691,0.34240578466565263,0.22526750516238536,0.5632128604986839
BTC,body_pos,mid,1h,3548,-0.0036918350477963733,-0.006767714224653609,0.6962467312067834,1.7381203628093842,0.31211325399132,0.2096154178194809,0.5144318755096693
BTC,body_pos,upper,1h,737,-0.005970674830417863,-0.012077780909058866,0.6744952282024962,1.9032645623994404,0.30473128764024304,0.18985548313970035,0.4986860965121835
CRV,body_pos,lower,1h,892,0.0034841444197478335,0.023577708125666064,1.387134778510834,3.0329689280483536,0.6207232885402378,0.44124749422762566,1.0140798553980144
CRV,body_pos,mid,1h,3293,-0.00552950726537617,-0.013999066728886955,1.3182690572829263,2.924029890905338,0.5931311595868299,0.4222288565701393,0.9778328392549079
CRV,body_pos,upper,1h,816,-0.024424553410065164,-0.04608233862008482,1.3559069303431759,3.0384752585676513,0.6352238186625441,0.4548614917846805,1.022232755350962
DOGE,body_pos,lower,1h,694,-0.019782965751298957,0.010218763050617863,1.0724146336724307,2.835686782527597,0.4788213591199,0.31955398178281635,0.7839583831565453
DOGE,body_pos,mid,1h,3593,-0.011890199348822688,-0.0014200914538964327,0.9772206623890004,2.4531429074892706,0.4384855192673621,0.2905391231382337,0.7218692842996146
DOGE,body_pos,upper,1h,714,0.0006632095246943576,-0.030519590625011084,0.9910099519198602,2.4900741501440518,0.44761566204756054,0.302370319309897,0.7436165892773088
ETH,body_pos,lower,1h,601,-0.016378934934037453,0.027210884353756626,0.9656504345426864,2.5088867137190163,0.4281373926603069,0.27029891880432366,0.7220216606498109
ETH,body_pos,mid,1h,3785,-0.011496455376167414,-0.008657633868658365,0.9094683763930589,2.4009674065859863,0.40196532371085486,0.2557544757033292,0.6578947368421052
ETH,body_pos,upper,1h,616,0.012097631945664527,-0.012774863908421308,0.8890924214733475,2.702605640816341,0.4085632886584019,0.25879930962888764,0.6631532485661947
HYPE,body_pos,lower,1h,748,0.054263542927761955,0.015063975034390609,1.5616818386590692,3.361554626921515,0.688451474151532,0.512704790744628,1.2416613535384005
HYPE,body_pos,mid,1h,3349,0.04592645523669196,0.018383801244858944,1.6341300166569184,3.3140381420541885,0.7154327573998188,0.4956183224434474,1.2172331935956344
HYPE,body_pos,upper,1h,902,-0.0969965635866146,-0.06335177427439498,1.6510215626846778,3.1607800357380635,0.7278871425241689,0.5194829498440245,1.2300737041796221
LIT,body_pos,lower,1h,854,0.10752142921615086,0.0062219066100710485,2.5012183636012417,4.842494989970607,1.0606357965483417,0.7171696417109907,1.8243841984164453
LIT,body_pos,mid,1h,3429,-0.001833751539331029,-0.07125275294728173,2.2714702436666174,4.950117423656643,1.0433445635503102,0.7488584474885873,1.8408229561450977
LIT,body_pos,upper,1h,718,-0.01800628988839742,-0.043941685759124605,2.520766747766712,5.016002215542746,1.2020427634652684,0.9064591274729195,2.1222546045298794
PUMP,body_pos,lower,1h,755,0.01562611140889165,-0.037064492216443146,1.8261164082605232,3.5832410569718625,0.8274389068185218,0.603248259860778,1.4532871972318315
PUMP,body_pos,mid,1h,3518,0.002598127356764645,0.0,1.849342212410191,3.982710576521414,0.8368926490284524,0.6017342507445012,1.441337681029351
PUMP,body_pos,upper,1h,729,0.010459171780279487,-0.09433962264150386,1.8798686937735611,3.712811919420055,0.8699924466459891,0.630693763139456,1.5406162464985913
SOL,body_pos,lower,1h,694,-0.045167888212597304,0.014788989085767756,1.1355178808327953,2.276506241359057,0.48584511084862525,0.32111097963332114,0.7988751121090677
SOL,body_pos,mid,1h,3634,-0.005140233487073637,-0.0021225630985499677,0.9923273571812515,2.5254949114116028,0.4417301061775904,0.2848234214790746,0.7386455452750149
SOL,body_pos,upper,1h,674,-0.003009175132580273,-0.02159634979682079,0.9988976324178581,2.147235155034227,0.4435323278050368,0.3107499646421319,0.7303250003864825
XMR,body_pos,lower,1h,793,0.05125070439999583,0.052384891094559016,1.5771372479579384,3.5148214150872192,0.6743678189244923,0.44695365796283415,1.08521395979775
XMR,body_pos,mid,1h,3193,-0.006080627950701431,0.006518267444532988,1.3319253139827982,2.9968623447479956,0.6204164325239213,0.44104525175270304,1.0433648516465548
XMR,body_pos,upper,1h,1015,-0.044609930763677336,-0.026853647620461718,1.3900476498043801,3.002546971949035,0.6376250657166082,0.4599841195958687,1.0387946639930983
XRP,body_pos,lower,1h,755,-0.04840393693816147,-0.02329916123019471,0.9486535908172057,2.4420620851476404,0.4283679631439208,0.27568195008706997,0.6848347924315037
